Title,location,Price,urls
The Galleria Nobel Roof Top luxury apartment for sale,"Bahria Enclave, Bahria Town",2.1 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_the_galleria_nobel_roof_top_luxury_apartment_for_sale-46909335-1705-1.html
"F-8,500 Sq Yard Brand New Corner House Available For Sale","F-8, Islamabad",35 Crore,https://www.zameen.com//Property/islamabad_f-8_f-8_500_sq_yard_brand_new_corner_house_available_for_sale-48146070-166-1.html
E Type 2 Bed Corner Apartment Of PHA I-16 For Sale,"I-16/3, I-16",50 Lakh,https://www.zameen.com//Property/i_16_i-16_3_e_type_2_bed_corner_apartment_of_pha_i-16_for_sale-48085281-3437-1.html
B Type Cornerand Park Facing Flat With 3 Bed 3 Bath And Servant Room Available For Sale,"I-16, Islamabad",75 Lakh,https://www.zameen.com//Property/islamabad_i-16_b_type_cornerand_park_facing_flat_with_3_bed_3_bath_and_servant_room_available_for_sale-48085501-449-1.html
Royal Mall And Residency 2 Bed Apartment 1450 Square Feet On 4th Floor Sun Facing Available For Sale Prime Location,"Bahria Enclave, Bahria Town",1.7 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_royal_mall_and_residency_2_bed_apartment_1450_square_feet_on_4th_floor_sun_facing_available_for_sale_prime_location-46950843-1705-1.html
"8 Marla Brand New Park Facing House Available For Sale In Sector N, Bahria Enclave Islamabad","Bahria Enclave - Sector N, Bahria Enclave",4 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_n_8_marla_brand_new_park_facing_house_available_for_sale_in_sector_n_bahria_enclave_islamabad-48166148-11975-1.html
5 Marla Double Unit House Available For Sale In Faisal Town F-18 Islamabad.,"Faisal Town - F-18, Islamabad",2.4 Crore,https://www.zameen.com//Property/islamabad_faisal_town_-_f-18_5_marla_double_unit_house_available_for_sale_in_faisal_town_f-18_islamabad-48159036-8260-1.html
Prime Location House Of 444 Square Yards Is Available In Contemporary Neighborhood Of G-10,"G-10, Islamabad",17 Crore,https://www.zameen.com//Property/islamabad_g-10_prime_location_house_of_444_square_yards_is_available_in_contemporary_neighborhood_of_g-10-48158381-167-1.html
Spacious Prime Location House Is Available For Sale In Ideal Location Of H-13,"H-13, Islamabad",1.85 Crore,https://www.zameen.com//Property/islamabad_h-13_spacious_prime_location_house_is_available_for_sale_in_ideal_location_of_h-13-48159955-1039-1.html
Prime Location 1800 Square Feet House For Sale In I-11,"I-11, Islamabad",5.5 Crore,https://www.zameen.com//Property/islamabad_i-11_prime_location_1800_square_feet_house_for_sale_in_i-11-48157945-706-1.html
